wordFrench, wordEnglish, wordPortuguese, nDaysReviewed, nDaysLastReview, nDaysCorrect, nDaysLastCorrect
Encore une fois,Another time,Outra vez,0,0,0,0
Cólere,Anger,Raiva,0,0,0,0
Rappeler,Recall/Remember,Lembrar,0,0,0,0
Plaque,Plate,Prato,0,0,0,0
Mois,Month,Mês,0,0,0,0
Le récit,History,História,0,0,0,0
Sans,Without,Sem,0,0,0,0
Bonheur,Happiness,Felicidade,0,0,0,0
En ligne,Online,Online,0,0,0,0
Couloir,Hallway,Corredor,0,0,0,0
Carré,Squared,Quadrado,0,0,0,0
Fin,Thin,Fino,0,0,0,0
Anée,Year,Ano,0,0,0,0
Eau,Water,Água,0,0,0,0
Ami,Friend,Amigo,0,0,0,0
Petite fille,Grandaughther,Neta,0,0,0,0
Juin,June,Junho,0,0,0,0
Père,Father,Pai,0,0,0,0
Je,I,Eu,0,0,0,0
Il y a,There is,Há,0,0,0,0
Additioner,Add,Somar,0,0,0,0
Font,Do,Fazer,0,0,0,0
Prendre,Tie,Prender,0,0,0,0
Octobre,October,Outubro,0,0,0,0
Au,At/In,Em/No,0,0,0,0
Entendre,Listen/Hear,Escutar/Ouvir,0,0,0,0
École,School,Escola,0,0,0,0
Peler,Peel,Descascar,0,0,0,0
Petit enfant,Grandson,Neto,0,0,0,0
Lavabo,Sink,Pia,0,0,0,0
Prochaine,Near,Próximo,0,0,0,0
Attacher,Attach,Prender,0,0,0,0
Chaud,Hot,Quente,0,0,0,0
Valoir,Worth,Valer,0,0,0,0
Pognon,Money,Grana,0,0,0,0
Portée,Reach,Alcance,0,0,0,0
Main,Hand,Mão,0,0,0,0
Appartenir,Belong,Pertencer,0,0,0,0
Passer,Happen,Acontecer,0,0,0,0
Collier,Necklace,Colar,0,0,0,0
Prévu,Expected,Previsto,0,0,0,0
Voler,Rob,Roubar,0,0,0,0
Accepter,Accept,Aceitar,0,0,0,0
Avancer,Advance,Avançar,0,0,0,0
Commencer,Initiate,Começar,0,0,0,0
Croire,Believe,Crer,0,0,0,0
Devenir,Become,Tornar-se,0,0,0,0
Demander,Ask,Perguntar,0,0,0,0
Dormir,Sleep,Dormir,0,0,0,0
Écouter,Listen,Escutar,0,0,0,0
Empêcher,Prevent,Prevenir,0,0,0,0
Entre,Enter,Entrar,0,0,0,0
Espérer,Wait something from someone,Esperar algo de alguém,0,0,0,0
Essayer,Try,Tentar,0,0,0,0
Être,Be,Ser,0,0,0,0
Éviter,Avoid,Evitar,0,0,0,0
Exister,Exist,Existir,0,0,0,0
Expliquer,Explain,Explicar,0,0,0,0
Fermer,Close,Fechar,0,0,0,0
Garder,Store,Guardar,0,0,0,0
Laisser,Let,Deixar,0,0,0,0
Lire,Read,Ler,0,0,0,0
Mettre,Put,Colocar,0,0,0,0
Monter,Go up,Subir,0,0,0,0
Obtenir,Obtain,Obter,0,0,0,0
Offrir,Offer,Oferecer,0,0,0,0
Oublier,Forget,Esquecer,0,0,0,0
Passer,Pass,Passar,0,0,0,0
Payer,Pay,Pagar,0,0,0,0
Perdre,Loose,Perder,0,0,0,0
Permettre,Allow,Permitir,0,0,0,0
Porter,Hold/Port,Carregar/Portar,0,0,0,0
Poser,Demote,Rebaixar,0,0,0,0
Pousser,Push,Empurrar,0,0,0,0
Présenter,Present,Apresentar,0,0,0,0
Quitter,Quit,Desistir,0,0,0,0
Refuser,Refuse,Recusar,0,0,0,0
Rendre,Give back,Devolver,0,0,0,0
Revenir,Return,Retornar/Voltar,0,0,0,0
Suivre,Follow,Seguir,0,0,0,0
Tenir,Hold,Segurar,0,0,0,0
Tirer,Pull,Puxar,0,0,0,0
Toucher,Touch,Tocar,0,0,0,0
Trouver,Find,Encontrar,0,0,0,0
Vendre,Sell,Vender,0,0,0,0
Vivre,Live,Viver,0,0,0,0
S'occuper,Take care of,Cuidar de,0,0,0,0
Prope,Own,Própria,0,0,0,0
On se dépêche,Dispatch,Dispachem-se,0,0,0,0
Debut,Beggining,Começo,0,0,0,0
Entretien (d'embauche),(Job interview) / Maintenance,(Entrevista de emprego) / Manutenção,0,0,0,0
Oui/Ouais,Yes/Yeah,Sim,0,0,0,0
Enchères,Auction,Leilão,0,0,0,0
Dépasser,Exceed,Passar de,0,0,0,0
Raisoir,Razor,Navalha,0,0,0,0
Deviner,Guess,Advinha,0,0,0,0
On verra,Let's see,Vamos ver,0,0,0,0
Thune,Money,Grana,0,0,0,0
Décoller,Get some,Descolar,0,0,0,0
Reposer,Rest,Descansar/Repousar,0,0,0,0
Oseille,Sour,Azedo,0,0,0,0
Dépenser,Spend,Gastar (dinheiro),0,0,0,0
Jeter,Launch,Atirar/Lançar,0,0,0,0
Lancer,Launch,Lançar,0,0,0,0
De suite,Following,Em seguida,0,0,0,0
Peur,Fear,Medo,0,0,0,0
Chemise,Shirt,Camisa,0,0,0,0
Ainsi,This,Assim,0,0,0,0
